Test 1,Test 2,U-Statistic,p-value
Plain,CoT - silent,45.5,0.6903435597478593
Plain,CoT,61.5,0.06852966483147951
Plain,Counter,3.5,0.0007894129377891293
Plain,Expl,64.5,0.11967755159190994
Plain,FS,33.0,0.346685891554543
Plain,Money,8.0,0.0045271688850123245
CoT - silent,CoT,60.0,0.09305949055657545
CoT - silent,Counter,3.0,0.0006990589359316288
CoT - silent,Expl,60.0,0.23603328738581286
CoT - silent,FS,25.5,0.12000400012271327
CoT - silent,Money,8.0,0.004611518481189644
CoT,Counter,8.5,0.0031936776727016637
CoT,Expl,35.5,0.45986265985046704
CoT,FS,16.0,0.019801755537802213
CoT,Money,11.0,0.010168020568398634
Counter,Expl,80.5,0.023134585695487334
Counter,FS,67.0,0.21160560249578764
Counter,Money,64.0,0.1298966702656174
Expl,FS,24.0,0.05363205693602017
Expl,Money,22.0,0.06536059935466854
FS,Money,41.0,0.774473122174173
