Group,Test,Test_Description,Last_Digit,TOTAL,PERCENT_CORRECT_1,PERCENT_CORRECT_2
gpt-1,0_0,Plain,1,300,47.66666666666667,9.333333333333334
gpt-1,0_0,Plain,2,220,43.63636363636363,11.363636363636363
gpt-1,0_0,Plain,3,40,65.0,12.5
gpt-1,0_0,Plain,4,40,47.5,5.0
gpt-1,0_0,Plain,5,40,40.0,2.5
gpt-1,0_0,Plain,6,40,50.0,10.0
gpt-1,0_0,Plain,7,40,60.0,10.0
gpt-1,0_0,Plain,8,40,67.5,5.0
gpt-1,0_0,Plain,9,37,48.64864864864865,2.7027027027027026
gpt-1,1_1,CoT - silent,1,50,76.0,38.0
gpt-1,1_1,CoT - silent,2,50,57.99999999999999,20.0
gpt-1,1_1,CoT - silent,3,50,60.0,12.0
gpt-1,1_1,CoT - silent,4,50,60.0,12.0
gpt-1,1_1,CoT - silent,5,50,52.0,20.0
gpt-1,1_1,CoT - silent,6,50,44.0,10.0
gpt-1,1_1,CoT - silent,7,50,46.0,28.000000000000004
gpt-1,1_1,CoT - silent,8,50,46.0,24.0
gpt-1,1_1,CoT - silent,9,50,24.0,18.0
gpt-1,2_2,CoT,1,50,100.0,48.0
gpt-1,2_2,CoT,2,50,100.0,46.0
gpt-1,2_2,CoT,3,50,100.0,34.0
gpt-1,2_2,CoT,4,50,100.0,30.0
gpt-1,2_2,CoT,5,50,100.0,18.0
gpt-1,2_2,CoT,6,50,100.0,24.0
gpt-1,2_2,CoT,7,50,100.0,22.0
gpt-1,2_2,CoT,8,50,100.0,28.000000000000004
gpt-1,2_2,CoT,9,50,100.0,24.0
gpt-1,3_3,Counter,1,50,30.0,20.0
gpt-1,3_3,Counter,2,50,38.0,24.0
gpt-1,3_3,Counter,3,50,16.0,8.0
gpt-1,3_3,Counter,4,50,20.0,12.0
gpt-1,3_3,Counter,5,50,30.0,20.0
gpt-1,3_3,Counter,6,50,22.0,12.0
gpt-1,3_3,Counter,7,50,20.0,14.000000000000002
gpt-1,3_3,Counter,8,50,28.000000000000004,18.0
gpt-1,3_3,Counter,9,50,16.0,12.0
gpt-1,4_4,Expl,1,50,100.0,60.0
gpt-1,4_4,Expl,2,50,100.0,42.0
gpt-1,4_4,Expl,3,50,100.0,22.0
gpt-1,4_4,Expl,4,50,100.0,24.0
gpt-1,4_4,Expl,5,50,100.0,22.0
gpt-1,4_4,Expl,6,50,100.0,14.000000000000002
gpt-1,4_4,Expl,7,50,100.0,18.0
gpt-1,4_4,Expl,8,50,100.0,16.0
gpt-1,4_4,Expl,9,50,100.0,18.0
gpt-1,5_5,FS,1,50,100.0,60.0
gpt-1,5_5,FS,2,50,100.0,57.99999999999999
gpt-1,5_5,FS,3,50,100.0,36.0
gpt-1,5_5,FS,4,50,100.0,40.0
gpt-1,5_5,FS,5,50,100.0,40.0
gpt-1,5_5,FS,6,38,100.0,21.052631578947366
gpt-1,5_5,FS,7,30,100.0,36.666666666666664
gpt-1,5_5,FS,8,30,100.0,26.666666666666668
gpt-1,5_5,FS,9,30,100.0,26.666666666666668
gpt-1,6_6,Money,1,30,46.666666666666664,30.0
gpt-1,6_6,Money,2,30,30.0,3.3333333333333335
gpt-1,6_6,Money,3,30,33.33333333333333,3.3333333333333335
gpt-1,6_6,Money,4,30,40.0,16.666666666666664
gpt-1,6_6,Money,5,30,30.0,6.666666666666667
gpt-1,6_6,Money,6,30,46.666666666666664,16.666666666666664
gpt-1,6_6,Money,7,30,23.333333333333332,3.3333333333333335
gpt-1,6_6,Money,8,30,33.33333333333333,3.3333333333333335
gpt-1,6_6,Money,9,30,33.33333333333333,3.3333333333333335
