Test 1,Test 2,U-Statistic,p-value
0_0 - Plain,1_1 - Chain-of-thought (silent),78.5,0.0009004735547409497
0_0 - Plain,2_2 - Chain-of-thought (revealed),0.0,0.000403832264974161
0_0 - Plain,3_3 - Counterfactual,1.0,0.000540397683510625
0_0 - Plain,4_4 - Chain-of-thought (self-exp.),0.0,0.000403832264974161
0_0 - Plain,5_5 - Few-shots,33.5,0.5643799183633804
0_0 - Plain,6_6 - Money,62.0,0.06218687851333626
1_1 - Chain-of-thought (silent),2_2 - Chain-of-thought (revealed),0.0,0.000403832264974161
1_1 - Chain-of-thought (silent),3_3 - Counterfactual,0.0,0.0003954938329925018
1_1 - Chain-of-thought (silent),4_4 - Chain-of-thought (self-exp.),0.0,0.000403832264974161
1_1 - Chain-of-thought (silent),5_5 - Few-shots,20.5,0.08428414577842547
1_1 - Chain-of-thought (silent),6_6 - Money,18.5,0.05582985164411867
2_2 - Chain-of-thought (revealed),3_3 - Counterfactual,33.5,0.563158949826752
2_2 - Chain-of-thought (revealed),4_4 - Chain-of-thought (self-exp.),45.0,0.7222778112681193
2_2 - Chain-of-thought (revealed),5_5 - Few-shots,62.5,0.0567292551267308
2_2 - Chain-of-thought (revealed),6_6 - Money,80.5,0.00047057654193015733
3_3 - Counterfactual,4_4 - Chain-of-thought (self-exp.),48.5,0.5053743604760828
3_3 - Counterfactual,5_5 - Few-shots,60.5,0.08396216165978894
3_3 - Counterfactual,6_6 - Money,80.0,0.0005476641794756211
4_4 - Chain-of-thought (self-exp.),5_5 - Few-shots,63.5,0.04649056330814724
4_4 - Chain-of-thought (self-exp.),6_6 - Money,81.0,0.00040103904468254847
5_5 - Few-shots,6_6 - Money,50.5,0.3993439298850119
