Group	Test	Last_Digit	TOTAL	CORRECT_1	CORRECT_2
gpt-0	0_0	1	300	138	129
gpt-0	0_0	10	30	16	6
gpt-0	0_0	11	30	14	5
gpt-0	0_0	2	300	151	128
gpt-0	0_0	3	350	159	117
gpt-0	0_0	4	350	173	118
gpt-0	0_0	5	279	136	74
gpt-0	0_0	6	50	22	13
gpt-0	0_0	7	50	24	13
gpt-0	0_0	8	50	21	16
gpt-0	0_0	9	50	24	13
gpt-0	1_1	1	302	117	112
gpt-0	1_1	10	30	20	11
gpt-0	1_1	11	30	14	7
gpt-0	1_1	2	292	93	83
gpt-0	1_1	3	50	25	23
gpt-0	1_1	4	50	14	8
gpt-0	1_1	5	50	23	17
gpt-0	1_1	6	50	23	11
gpt-0	1_1	7	50	17	12
gpt-0	1_1	8	50	24	14
gpt-0	1_1	9	50	25	16
gpt-0	2_2	1	2	1	1
gpt-0	2_2	10	30	28	1
gpt-0	2_2	11	30	27	1
gpt-0	2_2	2	50	38	22
gpt-0	2_2	3	50	38	13
gpt-0	2_2	4	50	44	5
gpt-0	2_2	5	43	41	7
gpt-0	2_2	6	40	36	3
gpt-0	2_2	7	40	35	3
gpt-0	2_2	8	50	44	2
gpt-0	2_2	9	50	47	5
gpt-0	3_3	1	152	89	88
gpt-0	3_3	10	30	12	12
gpt-0	3_3	11	30	14	11
gpt-0	3_3	2	150	84	81
gpt-0	3_3	3	150	80	73
gpt-0	3_3	4	150	68	59
gpt-0	3_3	5	150	80	75
gpt-0	3_3	6	150	82	71
gpt-0	3_3	7	150	69	64
gpt-0	3_3	8	50	27	25
gpt-0	3_3	9	50	24	22
gpt-0	4_4	1	158	110	107
gpt-0	4_4	10	30	18	3
gpt-0	4_4	11	30	20	5
gpt-0	4_4	2	150	93	64
gpt-0	4_4	3	150	104	35
gpt-0	4_4	4	150	101	28
gpt-0	4_4	5	150	107	28
gpt-0	4_4	6	150	99	15
gpt-0	4_4	7	150	101	12
gpt-0	4_4	8	50	38	2
gpt-0	4_4	9	50	41	5
gpt-0	5_5	1	154	112	108
gpt-0	5_5	10	30	5	4
gpt-0	5_5	11	30	1	0
gpt-0	5_5	2	150	103	92
gpt-0	5_5	3	150	83	72
gpt-0	5_5	4	150	81	61
gpt-0	5_5	5	150	71	59
gpt-0	5_5	6	150	66	53
gpt-0	5_5	7	150	49	33
gpt-0	5_5	8	50	20	12
gpt-0	5_5	9	50	18	11
gpt-0	6_6	1	40	18	18
gpt-0	6_6	10	30	14	9
gpt-0	6_6	11	30	17	14
gpt-0	6_6	2	40	17	14
gpt-0	6_6	3	40	18	18
gpt-0	6_6	4	40	16	15
gpt-0	6_6	5	40	22	18
gpt-0	6_6	6	40	24	23
gpt-0	6_6	7	40	19	15
gpt-0	6_6	8	40	20	17
gpt-0	6_6	9	40	26	21
