Group	Test	Last_Digit	TOTAL	CORRECT_1	CORRECT_2
gpt-0	0_0	1	300	138	129
gpt-0	0_0	2	300	151	128
gpt-0	0_0	3	350	159	117
gpt-0	0_0	4	350	173	118
gpt-0	0_0	5	279	136	74
gpt-0	0_0	6	50	22	13
gpt-0	0_0	7	50	24	13
gpt-0	0_0	8	50	21	16
gpt-0	0_0	9	50	24	13
gpt-0	1_1	1	302	117	112
gpt-0	1_1	2	292	93	83
gpt-0	1_1	3	50	25	23
gpt-0	1_1	4	50	14	8
gpt-0	1_1	5	50	23	17
gpt-0	1_1	6	50	23	11
gpt-0	1_1	7	50	17	12
gpt-0	1_1	8	50	24	14
gpt-0	1_1	9	50	25	16
gpt-0	2_2	1	2	1	1
gpt-0	2_2	2	50	38	22
gpt-0	2_2	3	50	38	13
gpt-0	2_2	4	50	44	5
gpt-0	2_2	5	43	41	7
gpt-0	2_2	6	40	36	3
gpt-0	2_2	7	40	35	3
gpt-0	2_2	8	50	44	2
gpt-0	2_2	9	50	47	5
gpt-0	3_3	1	2	2	2
gpt-0	3_3	1	150	87	86
gpt-0	3_3	2	150	84	81
gpt-0	3_3	3	150	80	73
gpt-0	3_3	4	150	68	59
gpt-0	3_3	5	150	80	75
gpt-0	3_3	6	150	82	71
gpt-0	3_3	7	150	69	64
gpt-0	3_3	8	50	27	25
gpt-0	3_3	9	50	24	22
gpt-0	4_4	1	8	5	5
gpt-0	4_4	1	150	105	102
gpt-0	4_4	2	150	93	64
gpt-0	4_4	3	150	104	35
gpt-0	4_4	4	150	101	28
gpt-0	4_4	5	150	107	28
gpt-0	4_4	6	150	99	15
gpt-0	4_4	7	150	101	12
gpt-0	4_4	8	50	38	2
gpt-0	4_4	9	50	41	5
gpt-0	5_5	1	4	4	4
gpt-0	5_5	1	150	108	104
gpt-0	5_5	2	150	103	92
gpt-0	5_5	3	150	83	72
gpt-0	5_5	4	150	81	61
gpt-0	5_5	5	150	71	59
gpt-0	5_5	6	150	66	53
gpt-0	5_5	7	150	49	33
gpt-0	5_5	8	50	20	12
gpt-0	5_5	9	50	18	11
