Group	Test	Last_Digit	TOTAL	CORRECT_1	CORRECT_2
gpt-1	0_0	0	100	0	0
gpt-1	0_0	1	300	143	28
gpt-1	0_0	2	220	96	25
gpt-1	0_0	3	40	26	5
gpt-1	0_0	4	40	19	2
gpt-1	0_0	5	40	16	1
gpt-1	0_0	6	40	20	4
gpt-1	0_0	7	40	24	4
gpt-1	0_0	8	40	27	2
gpt-1	0_0	9	37	18	1
gpt-1	1_1	1	50	38	19
gpt-1	1_1	2	50	29	10
gpt-1	1_1	3	50	30	6
gpt-1	1_1	4	50	30	6
gpt-1	1_1	5	50	26	10
gpt-1	1_1	6	50	22	5
gpt-1	1_1	7	50	23	14
gpt-1	1_1	8	50	23	12
gpt-1	1_1	9	50	12	9
gpt-1	2_2	1	50	50	24
gpt-1	2_2	2	50	50	23
gpt-1	2_2	3	50	50	17
gpt-1	2_2	4	50	50	15
gpt-1	2_2	5	50	50	9
gpt-1	2_2	6	50	50	12
gpt-1	2_2	7	50	50	11
gpt-1	2_2	8	50	50	14
gpt-1	2_2	9	50	50	12
gpt-1	3_3	1	50	15	10
gpt-1	3_3	2	50	19	12
gpt-1	3_3	3	50	8	4
gpt-1	3_3	4	50	10	6
gpt-1	3_3	5	50	15	10
gpt-1	3_3	6	50	11	6
gpt-1	3_3	7	50	10	7
gpt-1	3_3	8	50	14	9
gpt-1	3_3	9	50	8	6
gpt-1	4_4	1	50	50	30
gpt-1	4_4	2	50	50	21
gpt-1	4_4	3	50	50	11
gpt-1	4_4	4	50	50	12
gpt-1	4_4	5	50	50	11
gpt-1	4_4	6	50	50	7
gpt-1	4_4	7	50	50	9
gpt-1	4_4	8	50	50	8
gpt-1	4_4	9	50	50	9
gpt-1	5_5	1	50	50	30
gpt-1	5_5	2	50	50	29
gpt-1	5_5	3	50	50	18
gpt-1	5_5	4	50	50	20
gpt-1	5_5	5	50	50	20
gpt-1	5_5	6	38	38	8
gpt-1	5_5	7	30	30	11
gpt-1	5_5	8	30	30	8
gpt-1	5_5	9	30	30	8
gpt-1	6_6	1	30	14	9
gpt-1	6_6	2	30	9	1
gpt-1	6_6	3	30	10	1
gpt-1	6_6	4	30	12	5
gpt-1	6_6	5	30	9	2
gpt-1	6_6	6	30	14	5
gpt-1	6_6	7	30	7	0
gpt-1	6_6	8	30	10	1
gpt-1	6_6	9	30	10	1
